STATEFP,COUNTYFP,COUSUBFP,Place,Population,Area,Density,State,lat,lon,poi_count,poke_score,visible_stops,estimated_gyms,area_km2,stationary_cluster_score,cluster_grade
50,7,85150,"Winooski city, Chittenden County, Vermont",7997,1.5096991807867253,5297.081764217857,Vermont,44.49144,-73.18568,79,418469.45937321073,32,2,3.9101057812458104,8.183921814464156,B
50,11,61675,"St. Albans city, Franklin County, Vermont",6877,1.95340300547092,3520.522892992128,Vermont,44.8107911,-73.0833607,28,98574.64100377959,11,2,5.059294250139628,2.1742162950289794,C
33,11,45140,"Manchester city, Hillsborough County, New Hampshire",115644,34.875122876701326,3315.945306023771,New Hampshire,42.9956397,-71.4547891,60,198956.71836142626,24,2,90.32621949942767,0.2657035812303876,D
50,7,10675,"Burlington city, Chittenden County, Vermont",44743,15.441615747889884,2897.559473730214,Vermont,44.4671635,-73.1715669,33,95619.46263309706,13,2,39.99363037087732,0.32505176147915743,D
33,11,50260,"Nashua city, Hillsborough County, New Hampshire",91322,31.68001999843105,2882.637069185017,New Hampshire,42.7044217,-71.540447,3,8647.911207555051,1,0,82.05093499573643,0.01218755155016774,D
50,23,3175,"Barre city, Washington County, Vermont",8491,4.009017016458882,2117.9755449130025,Vermont,44.1969042,-72.5007458,22,46595.461988086055,9,2,10.38331398245834,0.8667752911261932,D
50,21,61225,"Rutland city, Rutland County, Vermont",15807,7.650825929368116,2066.0514493375103,Vermont,43.6084792,-72.9724768,36,74377.85217615037,14,2,19.815562648804125,0.706515391368153,D
33,15,62900,"Portsmouth city, Rockingham County, New Hampshire",21956,16.79424083528407,1307.3529321951407,New Hampshire,43.0710506,-70.7536541,75,98051.46991463556,45,2,43.49691582097739,1.0345561093390836,D
33,17,69940,"Somersworth city, Strafford County, New Hampshire",11855,9.979069348354887,1187.9865332286092,New Hampshire,43.2623406,-70.8645966,15,17819.797998429138,9,2,25.845689821545673,0.3482205374335706,D
33,15,66660,"Salem town, Rockingham County, New Hampshire",30089,25.849807813234783,1163.9931800419345,New Hampshire,42.7804591,-71.2093147,14,16295.904520587083,8,2,66.95074373819995,0.11949083092015686,D
33,17,18820,"Dover city, Strafford County, New Hampshire",32741,28.99134986816569,1129.3368590591797,New Hampshire,43.1939114,-70.8747112,29,32750.768912716212,17,2,75.08730624505044,0.22640311458929976,D
33,15,33060,"Hampton town, Rockingham County, New Hampshire",16214,14.60571865672336,1110.1131263086677,New Hampshire,42.9728673,-70.8283867,7,7770.791884160673,4,1,37.82866526372693,0.10573991897714433,D
50,1,74650,"Vergennes city, Addison County, Vermont",2553,2.527653389357086,1010.0277240343308,Vermont,44.1681052,-73.2518037,6,6060.166344205985,4,1,6.546597001900959,0.6110044651959645,D
33,15,17940,"Derry town, Rockingham County, New Hampshire",34317,36.23274291180576,947.1267489610468,New Hampshire,42.8889326,-71.2591184,6,5682.760493766281,4,1,93.84244181414779,0.042624636813286286,D
33,11,37940,"Hudson town, Hillsborough County, New Hampshire",25394,29.211434249779373,869.3171236599516,New Hampshire,42.7739361,-71.3705321,5,4346.585618299758,3,1,75.65732259258607,0.0396524737751423,D
33,15,68260,"Seabrook town, Rockingham County, New Hampshire",8401,9.684385463271168,867.4788949553367,New Hampshire,42.8758088,-70.8709976,10,8674.788949553367,6,2,25.08246150601769,0.2392109721193234,D
33,15,25380,"Exeter town, Rockingham County, New Hampshire",16049,19.928134299133376,805.3438299388583,New Hampshire,43.0042126,-70.9476284,64,51542.00511608693,38,2,51.613668553412445,0.7362390828831644,D
33,11,47540,"Merrimack town, Hillsborough County, New Hampshire",26632,33.37703536670515,797.9138862214953,New Hampshire,42.8664567,-71.4946938,5,3989.5694311074767,3,1,86.44618782941266,0.034703670286999895,D
50,23,46000,"Montpelier city, Washington County, Vermont",8074,10.229238535067989,789.306063429905,Vermont,44.2602244,-72.5750364,16,12628.89701487848,10,2,26.493625513440737,0.3774492847317859,D
33,15,62500,"Plaistow town, Rockingham County, New Hampshire",7830,10.57872363102788,740.1649077053352,New Hampshire,42.8640939,-71.1133495,3,2220.4947231160054,2,1,27.3987884171259,0.07299592848966559,D
33,17,65140,"Rochester city, Strafford County, New Hampshire",32492,45.35326969792423,716.4202320232521,New Hampshire,43.3048873,-70.9756342,23,16477.6653365348,14,2,117.46451498492678,0.11918493003437251,D
33,11,4500,"Bedford town, Hillsborough County, New Hampshire",23322,33.00298496233741,706.6633526214302,New Hampshire,42.9427404,-71.5227715,6,4239.980115728582,4,1,85.47740102260425,0.04679599463888954,D
50,7,66175,"South Burlington city, Chittenden County, Vermont",20292,29.48321144530089,688.2560957664667,Vermont,44.4671635,-73.1715669,33,22712.451160293404,20,2,76.36122281121484,0.2619130399397256,D
33,15,52340,"Newmarket town, Rockingham County, New Hampshire",9430,14.162694996164303,665.8337274476318,New Hampshire,43.0773792,-70.9398275,10,6658.337274476317,6,2,36.68123841311558,0.1635713585355577,D
33,13,14200,"Concord city, Merrimack County, New Hampshire",43976,67.06961713034208,655.6769202146735,New Hampshire,43.2061572,-71.540285,66,43274.67673416845,40,2,173.70963767141467,0.2302693191707827,D
33,1,40180,"Laconia city, Belknap County, New Hampshire",16871,26.030713785770143,648.1189927731693,New Hampshire,43.5282606,-71.4684004,32,20739.80776874142,19,2,67.41928839800681,0.28181845954579543,D
33,15,32900,"Hampstead town, Rockingham County, New Hampshire",8998,14.060733865716085,639.9381487434014,New Hampshire,42.8757176,-71.1806016,0,0.0,0,0,36.417160104866,0.0,D
33,11,48020,"Milford town, Hillsborough County, New Hampshire",16131,25.423538869726872,634.4907403590465,New Hampshire,42.8357178,-71.6488122,15,9517.361105385698,9,2,65.8467114372039,0.1366810855631422,D
33,17,19700,"Durham town, Strafford County, New Hampshire",15490,24.72240001418926,626.5572918126725,New Hampshire,43.4345243,-71.1636774,4,2506.22916725069,2,1,64.03076881275004,0.031234983385077717,D
33,15,2340,"Atkinson town, Rockingham County, New Hampshire",7087,11.318384135728628,626.1494498696629,New Hampshire,42.840378,-71.1450685,9,5635.345048826966,5,1,29.314501727695788,0.17056404527852145,D
33,5,39300,"Keene city, Cheshire County, New Hampshire",23047,37.28613984828559,618.1117190939168,New Hampshire,42.9394792,-72.2633556,37,22870.133606474923,22,2,96.57072934566119,0.227812300363334,D
33,15,43220,"Londonderry town, Rockingham County, New Hampshire",25826,42.05207568847598,614.1432872736268,New Hampshire,42.867772,-71.3740245,11,6755.576160009895,7,2,108.91445551239589,0.06427062383104241,D
50,19,48850,"Newport city, Orleans County, Vermont",4455,7.614564430610278,585.063011889565,Vermont,44.9367172,-72.2055988,12,7020.75614267478,7,2,19.72164572963631,0.3549399525761123,D
33,15,85780,"Windham town, Rockingham County, New Hampshire",15817,27.73151809204813,570.3618513598591,New Hampshire,42.8406685,-71.2567641,3,1711.0855540795774,2,1,71.82435454322373,0.027845707945713657,D
50,7,24175,"Essex town, Chittenden County, Vermont",22094,39.344663857122775,561.5501019460407,Vermont,44.5230418,-73.0622703,12,6738.601223352489,7,2,101.90228594330941,0.06869325781262907,D
